,author,creation_date,expiry,last_reply,parent_category,price,replies,saving,source,thread_category,title,url,views,votes
17,GCSaves,"Jun 25th, 2020 8:14 am",,"Jul 8th, 2020 9:07 pm",,,21,,CIBC,Financial Services,CIBC eAdvantage Savings Account - 2.5% (Annualized) for 120 Days,https://www.cibc.com/en/special-offers/fall-savings-promotion.html,5931,10
18,frugalcanuck,"Jun 24th, 2020 1:48 pm",,"Jul 8th, 2020 8:42 pm",,39.88,82,,Sport Chek,Apparel,Calgary Flames adidas Men's James Neal Authentic Jersey $39.88,http://www.pntrs.com/t/8-8297-58025-56718?url=https%3A%2F%2Fwww.sportchek.ca%2Fcategories%2Ffan-shop%2Fnhl%2Fcalgary-flames%2Fjerseys%2Fproduct%2Fcalgary-flames-adidas-mens-james-neal-authentic-jersey-332776230.html%23332776230%255Bcolor%255D%3D332776230_60&amp;website=133845&amp;sid=rfdcb,15228,17
19,gasking,"Jun 28th, 2020 8:49 pm",,"Jul 8th, 2020 8:19 pm",Home & Garden,189.14,62,,,Appliances,Ninja Foodi Digital Air Fryer Oven $189.14 with promo code JULY4TH,https://www.ninjakitchen.com/exclusive-offer/SP101WBKT/ninja-foodi-digital-air-fry-oven/,15302,13
20,karlb,"Jul 7th, 2020 11:13 pm",,"Jul 8th, 2020 7:31 pm",Home & Garden,9.97,15,,,Home Improvement & Tools,Bosch Daredevil 6 piece spade bit set $9.97,,5774,28
21,kimmelite,"Jul 7th, 2020 4:03 pm","July 15, 2020","Jul 8th, 2020 7:27 pm",Kids & Babies,,18,,Walmart,School Supplies,"ON Walmart back to school deals starting July 9, as low as $0.10",http://click.linksynergy.com/deeplink?id=CAqD7bLWUPI&amp;mid=36751&amp;murl=http%3A%2F%2Fwalmart.ca&amp;u1=rfdcb,6205,11
22,Skilas,"Jul 7th, 2020 12:30 am",,"Jul 8th, 2020 7:03 pm",,139.99,23,,Canada Computers,Computers & Electronics,WD Red 4TB $139.99 (WD40EFRX),https://www.canadacomputers.com/product_info.php?cPath=15_1086_210&amp;item_id=063680,5489,-1
23,cpfan,"Jul 8th, 2020 12:09 pm","July 14, 2020","Jul 8th, 2020 6:58 pm",Computers & Electronics,9.99,3,50% off,Staples,Home Theatre & Audio,Basic Tech bluetooth earbuds $10 in-store YMMV,https://staplescanada.4u8mqw.net/c/341376/755401/10903?u=https://www.staples.ca/search?query=basic%20tech%20wireless%20earbuds&amp;configure%5BuserToken%5D=7561886366810483&amp;configure%5BclickAnalytics%5D=true&amp;configure%5BhitsPerPage%5D=32&amp;configure%5Bfilters%5D=tags%3A%22en_CA%22&amp;page=1,1610,2
24,coopercold,"Jun 26th, 2020 12:50 pm",,"Jul 8th, 2020 6:42 pm",,,13,,Walmart,Groceries,Pringles / Pringles Groovz - Get 3 Cans for $1.91 (or 64¢ each) w/C51 cashback,http://click.linksynergy.com/deeplink?id=CAqD7bLWUPI&amp;mid=36751&amp;murl=https%3A%2F%2Fwww.walmart.ca%2Fsearch%2Fpringles&amp;u1=rfdcb,5158,15
25,LarryT778370,"Jul 8th, 2020 10:41 am","July 12, 2020","Jul 8th, 2020 6:33 pm",Home & Garden,,11,15% off,PetSmart,Pets,PETSMART 15% off $100 or more ONLINE,https://www.petsmart.ca/,2206,8
26,oj777,"Jul 7th, 2020 7:34 pm",,"Jul 8th, 2020 6:08 pm",,,15,,Walmart,Beauty & Wellness,Oral-B CrossAction Electric Toothbrush Replacement Brush Head Refills (3 pack) $16 YMMV Clearance!,,3632,2
27,bosschan,"Jul 8th, 2020 4:50 pm",,"Jul 8th, 2020 5:44 pm",Computers & Electronics,107.65,2,,Amazon.ca,Peripherals & Accessories,Logitech C922x Pro Stream Webcam 1080P,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2FLogitech-Stream-Webcam-Streaming-960-001176%2Fdp%2FB01LXCDPPK%2Fref%3Dsr_1_3%3Fdchild%3D1%26keywords%3Dc922x%26qid%3D1594241066%26sr%3D8-3&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,1787,-2
28,Ferny111,"Jul 8th, 2020 1:52 pm",,"Jul 8th, 2020 5:12 pm",,,5,50-70%,Call it Spring,Apparel,50-70% off select styles + 2% CB & FS,https://www.callitspring.com/ca/en/sale/men,1290,-1
29,scibuf,"Jun 24th, 2020 8:26 pm",,"Jul 8th, 2020 4:58 pm",Home & Garden,98.00,46,,Home Depot,Home Improvement & Tools,"Makita 18v 1/2"" drill/driver brushless $98.00 (Stockyards-Tor) YMMV",https://the-home-depot-ca.pxf.io/c/341376/583694/9526?u=https://www.homedepot.ca/product/makita-1-2-inch-cordless-drill-driver-with-brushless-motor/1001343789,15311,15
0,Nikhilvoid,"May 29th, 2020 11:19 am",,"Jul 8th, 2020 4:42 pm",,,118,,Costco,Home & Garden,$270 - Anolon Nouvelle Copper 10-piece Hard Anodized Cookware Set - HOT [Members Only],https://www.costco.ca/anolon-nouvelle-copper-10-piece-hard-anodized-cookware-set.product.100526139.html,35787,10
1,Chingyul,"Jul 7th, 2020 11:40 am",,"Jul 8th, 2020 4:29 pm",Computers & Electronics,42,20,,Amazon.ca,Peripherals & Accessories,Anker PowerCore 10000 PD - $42,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2FAnker-PowerCore-10000mAh-Portable-Delivery%2Fdp%2FB07PXMF52C%3Fref_%3Dpe_7056090_511522340_grep_deals_digest_pe_img&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,3962,2
2,SayianPrince,"Jun 9th, 2020 4:12 pm",,"Jul 8th, 2020 4:13 pm",Restaurants,,363,,Wendy's,Fast Food,Wendys App Free Spicy Chicken With Purchase,,89466,192
3,airartaura,"Jul 8th, 2020 3:54 pm",,"Jul 8th, 2020 3:54 pm",Entertainment,1.99,0,93%,,"Books, Music, Movies, Magazines",(Amazon - Kindle Store) Mastery eBook by Robert Greene - $1.99,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fdp%2FB007V65PBK&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,628,1
4,rb,"Jul 6th, 2020 8:28 am","July 19, 2020","Jul 8th, 2020 3:49 pm",Restaurants,Free,9,,,Fast Food,A&w free hash brown with egger (with A&W app),,3623,0
5,Byzantium,"Jul 7th, 2020 10:36 pm",,"Jul 8th, 2020 3:49 pm",,$89,19,40%,The Bay,Home & Garden,Kitchenaid Long slot 4-slice toaster $89 (Empire Red colour),http://click.linksynergy.com/deeplink?id=CAqD7bLWUPI&amp;mid=43178&amp;murl=https%3A%2F%2Fwww.thebay.com%2Fproduct%2Fkitchenaid-four-slice-long-slot-toaster-kmt4116er-0600087723125.html%3Ftype%3DFeatured%2520Items%26term%3DKitchenaid%2520long%2520slot&amp;u1=rfdcb,3395,5
6,anthonysanjuan,"Jul 7th, 2020 11:01 pm",,"Jul 8th, 2020 3:36 pm",Computers & Electronics,41.99,9,30%,Amazon.ca,Other,"Anker PowerCore 10000 PD Redux, 10000mAh Portable Charger USB-C Power Delivery (18W) Power Bank - $41.99",http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fgp%2Fproduct%2FB07PXMF52C%2Fref%3Dppx_yo_dt_b_asin_title_o00_s00%3Fie%3DUTF8%26psc%3D1&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,2609,2
7,pman113,"Jul 6th, 2020 9:32 pm",,"Jul 8th, 2020 3:08 pm",,7.48,20,,Walmart,Home & Garden,4 way adjustable oscillating sprinkler $7.48 online only,http://click.linksynergy.com/deeplink?id=CAqD7bLWUPI&amp;mid=36751&amp;murl=https%3A%2F%2Fwww.walmart.ca%2Fen%2Fip%2Fvariable-width-oscillating-sprinkler%2F6000198917873&amp;u1=rfdcb,6827,16
8,muppetslayer,"Jul 7th, 2020 9:07 pm",,"Jul 8th, 2020 2:47 pm",,,10,,Amazon.ca,Home & Garden,Mr. Clean Magic Eraser Original $1.49 add-on item,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fdp%2FB004GDSW34&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,2855,0
9,mattdominic,"Jul 8th, 2020 12:15 pm","July 15, 2020","Jul 8th, 2020 2:34 pm",Computers & Electronics,1799.99,3,,Best Buy,Televisions,"BestBuy Sony 65"" 4K UHD HDR LED Android Smart TV (XBR65X950G) - Open Box ($1,799.99)",https://bestbuyca.o93x.net/c/341376/644465/10221?u=https://www.bestbuy.ca/en-ca/product/sony-65-4k-uhd-hdr-led-android-smart-tv-xbr65x950g-open-box/13595245,1374,-2
