,author,creation_date,expiry,last_reply,parent_category,price,replies,saving,source,thread_category,title,url,views,votes
21,szaurus,"Jun 24th, 2020 5:31 pm","July 2, 2020","Jul 1st, 2020 12:24 pm",Computers & Electronics,799,64,$100,Best Buy,Computers & Tablets/eReaders,"HP 15.6"" Gaming Laptop - Black (AMD Ryzen 5 4600H/256GB SSD/8GB RAM/NVIDIA GeForce GTX 1050/Win 10) - $799",https://bestbuyca.o93x.net/c/341376/644465/10221?u=https://www.bestbuy.ca/en-ca/product/hp-15-6-gaming-laptop-black-amd-ryzen-5-4600h-256gb-ssd-8gb-ram-nvidia-geforce-gtx-1050-win-10/14583603,15754,7
22,Siye,"Jul 1st, 2020 12:22 pm",,"Jul 1st, 2020 12:22 pm",,,0,20% off,,Groceries,Tea Sante - 20% Off Sitewide (OHCANADA),https://www.teasante.com/,570,0
23,redsynapse,"Jun 23rd, 2020 12:54 am",,"Jul 1st, 2020 12:06 pm",Home & Garden,70.39,51,,PetSmart,Pets,40 Gallon Glass Aquarium (Tetra/Marineland) - NOW $70.39,https://www.petsmart.ca/fish/tanks-aquariums-and-nets/tetra-40-gallon-aquarium-57246.html?cgid=300207,9840,10
24,jackrabbit000,"Jun 30th, 2020 6:49 pm",,"Jul 1st, 2020 11:54 am",,$79.20 USD,10,20%,,Home & Garden,Thermapen Mk4 Blue only for $79.20 USD - 20% Off,https://www.thermoworks.com/Thermapen-Mk4?quantity=1&amp;color=5,2196,0
25,v1p3r69,"Jun 30th, 2020 4:32 pm",,"Jul 1st, 2020 11:31 am",Sports & Fitness,48.97,5,30%,MEC,Other,CDI TorqControl 2-8 Nm tool for bikes 48.97,https://www.mec.ca/en/product/5038-410/TorqControl-2-8-Nm-Torque-Tool,1707,3
26,dea1er,"Jul 1st, 2020 11:02 am",,"Jul 1st, 2020 11:02 am",Computers & Electronics,209.00,0,$190.00,Bose Canada,Other,:: [$209.00] :: Refurbished Bose QC35 (1st Gen) Noise Cancelling Headphones,http://www.kqzyfj.com/click-749547-10945437?url=https%3A%2F%2Fwww.bose.ca%2Fen_ca%2Fproducts%2Fheadphones_outlet%2Fquietcomfort-35-wireless-fr.html&amp;sid=rfdcb,1215,6
27,Supman,"Jul 1st, 2020 10:25 am","July 1, 2020","Jul 1st, 2020 10:25 am",Home & Garden,119,0,30,Lowe's,Home Improvement & Tools,Dewalt 12 amp reciprocating saw $119,http://www.kqzyfj.com/click-749547-11662090?url=https%3A%2F%2Fwww.lowes.ca%2Fproduct%2Fcorded-reciprocating-saws%2Fdewalt-12-amp-variable-speed-corded-reciprocating-saw-574421&amp;sid=rfdcb,899,0
28,IDStorms,"Jun 30th, 2020 7:40 pm",,"Jul 1st, 2020 10:06 am",Computers & Electronics,,7,,,Video Games,[Fanatical] Atari Vault Complete Pack (Steam Key) $2.79,,2568,12
29,CrackTheDeal,"Jul 1st, 2020 7:57 am",,"Jul 1st, 2020 10:03 am",,$1.49,5,,,Computers & Electronics,Incredibox (iOS or Android App) for $1.49,,2133,12
0,Yadvinder007,"Jul 1st, 2020 7:26 am","July 2, 2020","Jul 1st, 2020 10:03 am",Apparel,19.99,2,30%,Costco,Men's Shoes,Fila West Naples Men’s Sneaker $19.99,https://www.costco.ca/fila-west-naples-men%e2%80%99s-sneaker.product.100650010.html,2217,-1
1,Unkno,"Jun 11th, 2020 8:57 pm",,"Jul 1st, 2020 9:41 am",,214.99,36,36%,Amazon.ca,Computers & Electronics,Ring Alarm 2nd Gen Security System (with Echo Dot) $214.99,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2FRing-Alarm-5-piece-kit%2Fdp%2FB07ZDTCRNS%2F&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,8591,8
2,SoloZinga,"Jun 30th, 2020 7:15 pm",,"Jul 1st, 2020 9:23 am",,1.97,13,,Walmart,Beauty & Wellness,Hand sanitizer $1.97 to $10 various sizes,,4194,3
3,xx1what,"Jun 16th, 2020 12:55 pm",,"Jul 1st, 2020 8:57 am",,,142,,,Groceries,Air Miles Bonus Boom - Get free 95 AM for doing 3 easy partners offers,https://bonusboom.airmiles.ca/en/coming_soon,30144,34
4,bbcd,"Jun 12th, 2020 10:58 am",,"Jul 1st, 2020 8:33 am",,$24.99,17,,Canadian Tire,Computers & Electronics,Led Desk Lamp with 10 watt quick charge $24.99,https://www.canadiantire.ca/en/pdp/wireless-charging-led-desk-lamp-3996108p.html#srp,5488,17
5,bing1221,"Jun 30th, 2020 7:55 pm",,"Jul 1st, 2020 6:21 am",,79.99,10,20% off,Amazon.ca,Computers & Electronics,XPG Gammix D10 DDR4 16GB (2x8GB) 3200MHz 288-Pin CL16 PC4-25600,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fdp%2FB083LCJS9S%2F%3Fcoliid%3DI1YPR4FOJV3G3Y%26colid%3DDSN5P2G5517U%26ref_%3Dlv_ov_lig_dp_it%26th%3D1&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,2600,3
6,vwfun,"Jul 1st, 2020 2:59 am",,"Jul 1st, 2020 3:01 am",Computers & Electronics,165.99,1,$24 off,Amazon.ca,Computers & Tablets/eReaders,XPG Spectrix D41 RGB 3200MHz 32GB (2 x 16GB) 228-Pin PC4-25600 Ryzen Compatible Memory $165.99,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fdp%2FB07FXV8968%2Fref%3Dcm_sw_em_r_mt_dp_U_t5c.Eb8NN2B4B&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,1194,0
7,PsychoMantis,"Jul 1st, 2020 1:03 am",,"Jul 1st, 2020 2:18 am",,46.86,1,20%,Amazon.ca,Computers & Electronics,Wyze Cam Pan 1080p Wi-fi Indoor Security Camera ($46.86),http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fdp%2FB07DGR98VQ%2F%3Fcoliid%3DIANK8YMM8M2V%26colid%3D2CBW38AGZYE7M%26psc%3D1%26ref_%3Dlv_ov_lig_dp_it&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,2003,1
8,aspen4u,"Jun 27th, 2020 11:06 am","June 28, 2020","Jul 1st, 2020 1:16 am",,$419.99,33,40% off,,Apparel,Arc'Teryx Beta AR Jacket 40% off,https://www.outterlimits.com/beta-ar-jacket-mens-1/,10703,4
9,KooJo,"Jun 23rd, 2020 5:59 pm",,"Jul 1st, 2020 1:06 am",,$593.98,72,,Amazon.ca,Computers & Electronics,"Philips 34"" Curved Ultrawide Monitor - 346B1C - 21:9 (VA 100hz - QHD 3440:1440) - $593.98",http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fgp%2Fproduct%2FB07Y5ZZW3Y%2Fref%3Dox_sc_saved_title_3%3Fsmid%3DA3DWYIK6Y9EEQB%26psc%3D1&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,13629,27
10,Starboardbound,"Jun 29th, 2020 3:08 pm","July 2, 2020","Jul 1st, 2020 1:00 am",,168,18,24% off,Staples,Computers & Electronics,Apple Airpods 2nd Gen (non-wireless charging) - $168 !,https://staplescanada.4u8mqw.net/c/341376/755401/10903?u=https://www.staples.ca/products/2941730-en-apple-airpods-with-charging-case,8912,15
11,Daijoubu,"Jun 30th, 2020 11:49 pm",,"Jul 1st, 2020 12:26 am",Home & Garden,,1,30%+,,Home Improvement & Tools,"BOSTITCH Floor Nailer 2 in 1, 16g L cleats & 15.5g staples $200 (PM opportunity)",https://completeequipment.ca/products/bostitch-floor-nailer-2-in-1-btfp12569?_pos=1&amp;_sid=96d625a18&amp;_ss=r,1077,3
12,computergeek541,"Jul 1st, 2020 12:18 am","July 8, 2020","Jul 1st, 2020 12:18 am",,,0,,Fresh Co,Groceries,"Whole Chicken $1.99/lb, Red Seedless Grapes $0.99/lb - July 2-8, 2020 (Ontario)",,842,0
13,AdamKing,"Jun 8th, 2020 8:50 pm",,"Jun 30th, 2020 11:38 pm",,,42,,Costco,Groceries,[Costco West] Wagyu finally available in GVA $69.99/kg,,16292,6
14,Jepboi,"Jun 22nd, 2020 8:33 pm",,"Jun 30th, 2020 11:18 pm",Computers & Electronics,,22,,Freedom Mobile,Cell Phones,Freedom Add a line $15 ($10),,7501,2
15,Frank510,"Jun 30th, 2020 12:50 pm","July 7, 2020","Jun 30th, 2020 10:44 pm",Computers & Electronics,Free,9,,,Other,2 free 6” x 8” Prints,https://www.walmartphotocentre.ca/en,3638,30
16,akito925,"Jun 30th, 2020 1:29 am","July 2, 2020","Jun 30th, 2020 10:18 pm",Computers & Electronics,477.99,18,$20,Costco,Computers & Tablets/eReaders,"Samsung Galaxy Tab S6 Lite 10.4 in. 64 GB, Wi-Fi Tablet $457.99 w/flip case",https://www.costco.ca/samsung-galaxy-tab-s6-lite-10.4-in.-64-gb%2c-wi-fi-tablet%2c-grey.product.100658960.html,3901,-7
17,G37xS2010,"Jun 4th, 2020 5:28 pm",,"Jun 30th, 2020 10:16 pm",Computers & Electronics,70,20,,Walmart,Peripherals & Accessories,YMMV 500GB external SSD Emtec 70$,http://click.linksynergy.com/deeplink?id=CAqD7bLWUPI&amp;mid=36751&amp;murl=https%3A%2F%2Fwww.walmart.ca%2Fen%2Fip%2FEmtec-ECSSD512GX200-USB3-1-TYPE-C-X200-512GB-Solid-State-Drive-44-Black-Red%2F6000200460036&amp;u1=rfdcb,6497,2
18,anzvietboy,"Jun 25th, 2020 3:54 pm","June 25, 2020","Jun 30th, 2020 10:13 pm",,269-329,36,,Costco,Computers & Electronics,Samsung Galaxy Watch Active 2 Bundle $329,https://www.costco.ca/samsung-galaxy-watch-active-2%2C-44mm-aluminum-black-bundle.product.100581649.html,7416,8
19,immad01,"Jun 30th, 2020 4:45 pm",,"Jun 30th, 2020 9:40 pm",,$13.98,9,,Walmart,Home & Garden,Hamilton Beach Single Serve Blender with Travel Lid for $13.98 (5 year limited warranty),http://click.linksynergy.com/deeplink?id=CAqD7bLWUPI&amp;mid=36751&amp;murl=https%3A%2F%2Fwww.walmart.ca%2Fen%2Fip%2Fhamilton-beach-single-serve-blender-with-travel-lid%2F6000200941577&amp;u1=rfdcb,2065,1
20,zac3ne2nr,"Jun 30th, 2020 6:52 pm",,"Jun 30th, 2020 9:31 pm",,,2,50%,,Home & Garden,"YMMV shed inna box / garage in a box, various sizes",https://the-home-depot-ca.pxf.io/c/341376/583694/9526?u=https://www.homedepot.ca/product/shelterlogic-shed-in-a-box-6-ft-x-6-ft-x-6-ft-grey-peak-style-storage-shed/1000781221?e,1592,1
21,badbeerbreath,"Jun 28th, 2020 10:04 pm",,"Jun 30th, 2020 9:07 pm",Entertainment,,10,,,"Books, Music, Movies, Magazines",SiriusXM - $5 /month for 12 months + a FREE Echo Dot,http://www.avantlink.ca/click.php?tt=cl&amp;mi=11859&amp;pw=144787&amp;ctc=deals&amp;url=https%3A%2F%2Fwww.siriusxm.ca%2Fselect%2Fsummer-with-echo%2F%3FID%3DSEM%26gclid%3DCjwKCAjw_-D3BRBIEiwAjVMy7NE7q_qfsO-ryzRX_grtUs-EmxhBBdoRjBJi2XWBImqMUkw0KWlJgRoCkl4QAvD_BwE,2459,2
22,immad01,"Jun 25th, 2020 10:10 am","July 1, 2020","Jun 30th, 2020 8:51 pm",,$6.44,28,,Home Hardware,Home & Garden,10L Plastic Jerry Gas Can for $6.44 (more than half off) (Ontario Stores),https://www.homehardware.ca/en/10l-plastic-jerry-gas-can/p/6616227,4177,13
23,strikefreed,"Jun 29th, 2020 8:04 am",,"Jun 30th, 2020 8:04 pm",Beauty & Wellness,44.99,12,,Costco,Beauty Supplies & Personal Care,Philips Sonicare DiamondClean Toothbrush Heads (5-Pack) $44.99,https://www.costco.ca/philips-sonicare-diamondclean-brush-heads-5-pack.product.100399845.html,2118,6
24,BestOffer,"Jun 30th, 2020 5:11 pm",,"Jun 30th, 2020 7:53 pm",Restaurants,,10,,Panago Pizza,Fast Food,Ampli x Panago - $10 on $5 purchase,,1343,-2
25,dexterneedsabrain,"Jun 30th, 2020 7:23 pm","July 2, 2020","Jun 30th, 2020 7:23 pm",Home & Garden,$29.99,0,40% off,Canadian Tire,Home Improvement & Tools,Smart Screen Gutter Guard - $29.99,https://www.canadiantire.ca/en/pdp/smart-screen-gutter-guard-0645104p.html#srp,1312,4
26,zunairryk,"Jun 25th, 2020 8:55 pm",,"Jun 30th, 2020 7:04 pm",Computers & Electronics,$369.99,42,$90,,Peripherals & Accessories,Google Nest Wifi 5 Router with 2 Points - 3 Pack - $369.99,https://bestbuyca.o93x.net/c/341376/644465/10221?u=https://www.bestbuy.ca/en-ca/product/google-nest-wifi-5-router-with-2-points-3-pack/13924603,7140,-2
27,Userna34,"Jun 27th, 2020 8:27 pm",,"Jun 30th, 2020 6:59 pm",,975,28,30%,MooseJaw.com,Sports & Fitness,NEMO Canon Sleeping Bag -40C,http://go.redirectingat.com?id=2927x594702&amp;xs=1&amp;url=https%3A%2F%2Fwww.moosejaw.com%2Fproduct%2Fnemo-canon-40-sleeping-bag_10272195,5768,9
28,jono454,"May 13th, 2020 10:17 am","May 31, 2020","Jun 30th, 2020 6:43 pm",Home & Garden,,196,,Staples,Furniture,Humanscale chairs and accessories 20% OFF,https://staplescanada.4u8mqw.net/c/341376/755401/10903?u=https://www.staples.ca/collections/humanscale-8722?utm_campaign=2020.05.13%20-%20Flyer-DOW%20-%20Core%20%28EN%29%20%28QX64yx%29&amp;utm_medium=email&amp;utm_source=Klaviyo%20-%20Campaigns&amp;cid=EM%3AKlaviyo&amp;_ke=eyJrbF9lbWFpbCI6ICJqb255ZW5Acm9nZXJzLmNvbSIsICJrbF9jb21wYW55X2lkIjogIkg1WmdreCJ9&amp;page=1&amp;configure%5BuserToken%5D=7839934204166123&amp;configure%5BclickAnalytics%5D=true&amp;configure%5BhitsPerPage%5D=32&amp;configure%5Bfilters%5D=tags%3A%22en_CA%22%20AND%20collections%3A%22h,50767,20
29,ShawnN84008,"Jun 29th, 2020 1:27 pm",,"Jun 30th, 2020 6:39 pm",Computers & Electronics,636,64,,Amazon.ca,Peripherals & Accessories,Beyerdynamic DT 1990 Pro - 636$ lowest price ever,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fgp%2Fproduct%2FB01KM9EJ7I%2Fref%3Dppx_yo_dt_b_asin_title_o03_s00%3Fie%3DUTF8%26psc%3D1&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,9921,15
0,Dmbpjfan,"Jun 25th, 2020 10:10 am","June 30, 2020","Jun 30th, 2020 6:34 pm",Travel,,12,,Petro Canada,Other,Ymmv bonus points petro Canada email,,3599,6
1,zobi123,"Jun 30th, 2020 8:03 am",,"Jun 30th, 2020 6:33 pm",,,14,,Amazon.ca,Sports & Fitness,"TheraBand Resistance Bands Set 3 pack, $14.51",http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fdp%2FB01A58FHQ8%2Fref%3Dcm_sw_r_em_apa_i_IHY-EbJY9WB8N&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,4451,9
2,Driftwood,"Jun 29th, 2020 2:48 pm",,"Jun 30th, 2020 6:33 pm",Restaurants,Free,3,,,Coffee & Desserts,Nomad Bottle or Pixie Lungo Cups (Sherway Gardens location) - FREE,,2107,5
3,Yel143,"Jun 16th, 2020 10:16 pm","June 30, 2020","Jun 30th, 2020 6:32 pm",,,26,,Royal Bank,Financial Services,RBC credit card customers free 500 petro points [YMMV],https://www.rbcrewards.com/#/home,8972,47
4,islander59,"Jun 30th, 2020 4:21 pm","July 1, 2020","Jun 30th, 2020 6:31 pm",,,9,22.3% - 26,Dell,Computers & Electronics,Google Nest Wifi Products - $15OFF$199+ & 5% GCR cash back,http://go.redirectingat.com?id=2927x594702&amp;xs=1&amp;url=https%3A%2F%2Fpilot.search.dell.com%2F8440%2Fgoogle%2520nest%2520wifi,1783,0
5,lebrond,"Jun 30th, 2020 6:59 am",,"Jun 30th, 2020 5:01 pm",Computers & Electronics,,7,,Amazon.ca,Video Games,Trials of Mana (Switch/PS4) $44.99,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2FTrials-of-Mana%2Fdp%2FB07XKTM98Y&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,2188,3
6,Rogues2017,"May 4th, 2020 3:05 pm","June 30, 2020","Jun 30th, 2020 4:51 pm",Travel,,202,5% off,,Other,UGo Wallet offering 5% discount on eGift cards until June 30th 2020..****PLEASE READ SUMMARY****,https://www.ugo.ca/gift-cards,39432,61
7,drdtyc,"Jun 14th, 2020 10:45 am",,"Jun 30th, 2020 4:39 pm",Computers & Electronics,$59.99,52,$10,Amazon.ca,Computers & Tablets/eReaders,"Fire 7 Tablet - 2019 Release, 16 GB, Black - $59.99",http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Ffire-7-tablet%2Fdp%2FB07JQP2C3X%2F&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,12376,1
8,CrackTheDeal,"Jun 30th, 2020 9:49 am",,"Jun 30th, 2020 4:31 pm",,Free,20,100%,Microsoft Store,Computers & Electronics,FREE Penbook (Windows 10/Surface Digital App),http://click.linksynergy.com/deeplink?id=CAqD7bLWUPI&amp;mid=36509&amp;murl=https%3A%2F%2Fwww.microsoft.com%2Fen-ca%2Fp%2Fpenbook%2F9pl4gx47gt7k%3FranMID%3D24542%26ranEAID%3Dlw9MynSeamY%26ranSiteID%3Dlw9MynSeamY-o7X3kvFRpFsKm2OPbLHrug%26epi%3Dlw9MynSeamY-o7X3kvFRpFsKm2OPbLHrug%26irgwc%3D1%26OCID%3DAID2000142_aff_7593_1243925%26tduid%3D%2528ir__q0kuf2wuikkfrwk3kk0sohzn0n2xi0migt0tenaw00%2529%25287593%2529%25281243925%2529%2528lw9MynSeamY-o7X3kvFRpFsKm2OPbLHrug%2529%2528%2529%26irclickid%3D_q0kuf2wuikkfrwk3kk0sohzn0n2xi0migt0tenaw00%26activetab%3Dpivot%3Aoverviewtab&amp;u1=rfdcb,10252,116
9,pidcha,"Jun 30th, 2020 9:18 am","July 2, 2020","Jun 30th, 2020 4:29 pm",Computers & Electronics,C$8.17,7,50% off,,Telecom,.CA domain 50% off,http://go.redirectingat.com?id=2927x594702&amp;xs=1&amp;url=https%3A%2F%2Fwww.namecheap.com%2Fdomains%2Fregistration%2Fcctld%2Fca%2F,1993,1
10,yellowtuna,"Jun 30th, 2020 3:58 pm",,"Jun 30th, 2020 4:23 pm",Computers & Electronics,79.99,2,,Amazon.ca,Computers & Tablets/eReaders,[Amazon.ca] XPG Gammix D10 DDR4 16GB (2x8GB) 3200MHz 288-Pin CL16 PC4-25600 Desktop U-DIMM Memory $79.99,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fdp%2FB083LCJS9S%3Fref%3Dmyi_title_dp&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,1048,2
11,chris5555,"Jun 30th, 2020 12:02 pm","July 2, 2020","Jun 30th, 2020 3:44 pm",,24.99,7,50% off,Canadian Tire,Automotive,"MotoMaster 5W40 Synthetic Engine Oil, 5-L",https://www.canadiantire.ca/en/pdp/motomaster-5w40-synthetic-engine-oil-5-l-0288720p.html,1394,5
12,TheMau5,"Jun 30th, 2020 3:08 pm",,"Jun 30th, 2020 3:36 pm",Apparel,140,4,110,Foot Locker,Men's Shoes,[WARM] Ultraboost 3 colors 160$ all-in YMMV,https://footlockerca.ldw66v.net/c/341376/802110/11224?u=https://www.footlocker.ca/en/product/adidas-ultraboost-mens/4206842.html,1868,-2
13,Seanne,"Jun 29th, 2020 6:26 pm",,"Jun 30th, 2020 3:13 pm",Home & Garden,199.98,32,,Walmart,Appliances,"RCA 5.0 Cu Ft Chest Freezer, White $199.98",http://click.linksynergy.com/deeplink?id=CAqD7bLWUPI&amp;mid=36751&amp;murl=https%3A%2F%2Fwww.walmart.ca%2Fen%2Fip%2Frca-50-cu-ft-chest-freezer-white%2F6000201198984&amp;u1=rfdcb,5967,4
14,CCHIPSS,"Jun 6th, 2020 9:53 pm",,"Jun 30th, 2020 2:58 pm",Computers & Electronics,1699,154,$430,,Cameras,Canon EOS RP Full Frame & 24-240mm & EF-EOS R Adaptor & Mini Tripod & 64GB SD Card $1.699.00,https://bccamera.com/canon-eos-rp-24-240mm-f4-6-3-is-usm-kit/,27224,22
15,el'ation,"Jun 9th, 2020 3:24 pm",,"Jun 30th, 2020 2:47 pm",,,46,$6 off,Costco,Home & Garden,Rubbermaid® Brilliance 18 Pieces - $23.99,,14199,13
16,CauseBurn,"Jun 28th, 2020 8:48 pm",,"Jun 30th, 2020 2:26 pm",Computers & Electronics,47.99,14,30% Off,Amazon.ca,Home Theatre & Audio,Edifier W820BT Wireless Bluetooth Headphones ($67.99 - $20= $47.99),http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2FEdifier-W820BT-Bluetooth-Headphones-Headphone%2Fdp%2FB07G2R7NCL%2F&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,3277,3
17,montyburns,"Jun 30th, 2020 12:47 pm",,"Jun 30th, 2020 2:23 pm",Computers & Electronics,,7,,Best Buy,Peripherals & Accessories,Microsoft Surface Pen + Bluetooth Mouse $102.74 + tax (PM with BB),http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2FMicrosoft-Surface-Pen-Poppy-Red%2Fdp%2FB07YNKFC3R%2F&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,1656,1
18,SKYhigh75f,"Jun 30th, 2020 1:59 pm","July 1, 2020","Jun 30th, 2020 1:59 pm",,1.67,0,,,Home & Garden,Hertel Nettoyants or Cleaners Only QC.,,531,4
19,rosden,"Jun 30th, 2020 8:23 am","July 5, 2020","Jun 30th, 2020 1:35 pm",Home & Garden,$799,7,$150,Costco,Outdoors & Patio,Napoleon Rogue 425 Natural Gas Grill with Cover $799 after $150 Off,https://www.costco.ca/napoleon-rogue-425-natural-gas-grill-with-cover.product.100470580.html,1932,3
20,CaptSmethwick,"Jun 30th, 2020 5:38 am",,"Jun 30th, 2020 1:29 pm",,$25.73,21,$3.50,Amazon.ca,Computers & Electronics,warm - EBL 16-Pack AAA 1100mAh Rechargeable Batteries Ni-MH $25.73,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fgp%2Fproduct%2FB01LYGHBNA%2Fref%3Dox_sc_act_title_1%3Fsmid%3DA3P4UZIS42PRQV%26psc%3D1&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,2636,-9
21,zobi123,"Jun 26th, 2020 10:46 am",,"Jun 30th, 2020 1:28 pm",Automotive,,35,,Amazon.ca,Auto Parts & Accessories,RAVPower Portable car jump starter - $25.99,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fdp%2FB07PP39D8C%2Fref%3Dcm_sw_r_em_apa_i_RCG9EbBJYTTW2&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,6973,-9
22,Clueless Fox,"Jun 30th, 2020 2:11 am",,"Jun 30th, 2020 12:15 pm",Apparel,,5,30~60%,,Men's Apparel,Online Sale 50% off suits and sports coats,https://www.harryrosen.com/en/sale/c/all-sale/all?sort=newest-arrival,3099,3
23,Zook123,"Jun 27th, 2020 4:59 pm",,"Jun 30th, 2020 12:15 pm",,19.97,4,,Costco,Beauty & Wellness,DHC Cleansing Oil - $19.97,,3216,5
24,chingwu,"Jun 30th, 2020 11:37 am",,"Jun 30th, 2020 12:10 pm",Computers & Electronics,399,2,$80off,Amazon.ca,Other,"Bose Noise Cancelling Wireless Bluetooth Headphones 700, with Alexa Voice Control, Soapstone $399",http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fdp%2FB07X5F81JS%3Ftag%3Dcamelcamelcam-20%26linkCode%3Dogi%26th%3D1%26language%3Den_CA&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,1156,0
25,thesubmitter,"Jun 20th, 2020 9:39 am",,"Jun 30th, 2020 11:45 am",Home & Garden,,84,,IKEA,Appliances,Ikea: Up to 50% off appliances,https://www.ikea.com/ca/en/search/products/?group=Jun%2019%20-%20Aug%205%20SALE%20-%20Appliances,31734,27
26,SohSay,"Jun 24th, 2020 9:01 am","July 1, 2020","Jun 30th, 2020 11:33 am",Home & Garden,,27,,Walmart,Appliances,Hamilton beach 4 slice toaster oven for $19.98 (Half price) or stainless steel Kettle,http://click.linksynergy.com/deeplink?id=CAqD7bLWUPI&amp;mid=36751&amp;murl=https%3A%2F%2Fwww.walmart.ca%2Fflyer&amp;u1=rfdcb,6050,11
27,gr8dlr,"Jun 30th, 2020 10:21 am","July 31, 2020","Jun 30th, 2020 11:28 am",,,6,,,Groceries,King Cole Ducks (Aurora) - specials for July,,1260,2
28,jdewit,"Jun 29th, 2020 3:49 pm",,"Jun 30th, 2020 11:18 am",Sports & Fitness,75,7,,Amazon.ca,Equipment,Victorinox Swiss Champ $75,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fdp%2FB0001GS19U%2Fref%3Dtwister_B071KCCBCH%3F_encoding%3DUTF8%26psc%3D1&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,2976,6
29,dealjuice,"Jun 27th, 2020 9:57 am",,"Jun 30th, 2020 10:44 am",,100,72,$50,Staples,Computers & Electronics,Amazon Fire TV Cube (2nd Gen) - $100 w/coupon,https://staplescanada.4u8mqw.net/c/341376/755401/10903?u=https://www.staples.ca/products/2960019-en-amazon-53-020325-2gb-ddr4-ram-bluetooth-v50-streaming-media-player-black,16143,10
0,Delhiboyin,"Jun 29th, 2020 10:57 pm","June 30, 2020","Jun 30th, 2020 10:10 am",Computers & Electronics,7.5,4,50% off,,Telecom,2nd month free offer,https://www.luckymobile.ca/shop/flash-sale#EXT=lucky_Soc_URL_flashsale_insta_Acq_050119_ad,1877,-1
1,m12k1m,"Jun 27th, 2020 10:46 am",,"Jun 30th, 2020 9:47 am",,1.99,22,60% off,Shoppers Drug Mart,Groceries,PC Blue Menu Sparkling Water 12 Pack YMMV $1.99,,6948,20
2,looking4junk,"Jun 27th, 2020 3:48 pm",,"Jun 30th, 2020 9:27 am",Home & Garden,289.00,46,,Home Depot,Appliances,"Rheem 36kW Electric Tankless Water Heater Reg. $964, in Store $289 YMMV.",https://the-home-depot-ca.pxf.io/c/341376/583694/9526?u=https://www.homedepot.ca/product/rheem-rheem-36kw-electric-tankless-water-heater/1001070389,15284,4
